id,word,explanation,char_count;;;;;;;;;;;;;;;;;;;;;;;;;
392,beser,sebentar-sebentar kencing,5;; (2) tinggi dan gemuk: badannya besar; (3) luas; tidak sempit: rumahnya besar; (4) lebar: sungai itu sangat besar; (5) kiasan hebat; mulia; berkuasa: jika menjadi orang besar , jangan suka sombong; (6) banyak; tidak sedikit (tentang jumlah): gajinya besar; (7) menjadi dewasa: ia lahir di surakarta, tetapi besar di jakarta; (8) lebih dewasa daripada sebelumnya: sekarang ia sudah besar;" (9) penting (berguna) sekali: ajaran agama itu besar artinya bagi pembentukan watak"",5";;;;;;;;;;;;
"395,betul,""(1) benar"; sesungguhnya;;;;;;;;;;;;;;;;;;;;;;;;
398,biang-biang,biang,11;; tidak bohong: betul , dia adalah kemenakan saya; (2) benar; tidak salah; tidak keliru: pendapatan hitungan ini betul; (3) sejati; bukan tiruan; bukan campuran; tulen: perhiasan yang dipakainya seperti emas betul; (4) tepat; persis: tembakannya betul mengenai jantungnya; (5) langsung (tidak serong): rumahku dengan rumahmu berhadapan betul; (6) lurus (tegak) benar: jalan yang betul;" berdiri betul"",5";;;;;;;;;;;
401,bijak,(1) selalu menggunakan akal budinya; pandai;;;;;;;;;;;;;;;;;;;;;;;;
402,bikonkaf,cekung pada kedua sisinya (tentang lensa atau kaca); mencekung ke dalam,8; mahir: bukan beta bijak berperi; engkau memang bijak; (2) berasal dari bahasa minangkabau pandai bercakap-cakap; petah lidah,5;;;;;;;;;;;;;;;;;;;;
405,bilineal,istilah hukum berkenaan dengan prinsip keturunan yang memperhitungkan hubungan kekerabatan melalui penghubung pria untuk sejumlah hak dan kewajiban tertentu,8;;;;;;;;;;;;;;;;;;;;;;;;;
409,bincacak,bahasa kasar terkutuk (untuk cacian atau makian),8; tidak menurut: akibat kurangnya perhatian pihak orang tua, banyak anak muda menjadi binal;;;;;;;;;;;;;;;;;;;;;;;;
410,biner,(1) terjadi dari atau ditandai oleh dua benda atau dua bagian;; (2) selalu hendak lari dan sebagainya (tentang kuda dan sebagainya) ;" liar: kuda yang binal itu terlepas kembali"",5";;;;;;;;;;;;;;;;;;;;;;
413,bintulbahar,putri laut,11; serba dua;;;;;;;;;;;;;;;;;;;;;;;;
414,biogenik,dihasilkan oleh organisme hidup: mikroba ini mengubah asam amino bebas menjadi kelompok amin yang bersifat racun dan dinamakan biogenik amino,8;; (2) istilah matematika berdasar dua (tentang bilangan pada sistem bilangan),5;;;;;;;;;;;;;;;;;;;;;;;
415,biologis,bersangkutan dengan biologi,8;;;;;;;;;;;;;;;;;;;;;;;;;
421,biverbal,berupa sinonim atau padan kata (tentang definisi),8;;;;;;;;;;;;;;;;;;;;;;;;;
"424,blong,""cakapan (tidak baku) tidak berfungsi karena tidak ada tahanan (tentang rem)";;;;;;;;;;;;;;;;;;;;;;;;;
